Catagory_Name,productName,productPrice,productSize,productType,productURL,imageUrl,prodId,skuId
Milani,Eye Tech Extreme Liquid Eye Liner Blackest Black 01,$8.79,0.03 fl oz ,Eyeliner,https://www.walgreens.com/store/c/milani-eye-tech-extreme-liquid-eye-liner/ID=prod6098468-product,https://pics.drugstore.com/prodimg/399829/155.jpg,prod6098468,sku6088182
Maybelline,Curvitude Liner Black,$8.99,0.03 oz ,Eyeliner,https://www.walgreens.com/store/c/maybelline-curvitude-liner/ID=prod6357255-product,https://pics.drugstore.com/prodimg/598010/155.jpg,prod6357255,sku6291167
L.A. Colors,Mini Bold Lash Mascara Black,$1.49,0.02 oz ,Mascara,https://www.walgreens.com/store/c/l.a.-colors-mini-bold-lash-mascara/ID=prod6348082-product,https://pics.drugstore.com/prodimg/593010/155.jpg,prod6348082,sku6286540
Physicians Formula,Lash Mixologist Mascara Black,$13.49,1 ea ,Mascara,https://www.walgreens.com/store/c/physicians-formula-lash-mixologist-mascara/ID=prod6396125-product,https://pics.drugstore.com/prodimg/612348/155.jpg,prod6396125,sku6325401
NYX Professional Makeup,Two Timer Dual Ended Eyeliner Jet Black,$9.99,1 ea ,Eyeliner,https://www.walgreens.com/store/c/nyx-professional-makeup-two-timer-dual-ended-eyeliner/ID=prod6311651-product,https://pics.drugstore.com/prodimg/528455/155.jpg,prod6311651,sku6287729
Milani,Most Wanted Palettes Partner in Crime,$9.99,0.21 oz ,Eyeshadow,https://www.walgreens.com/store/c/milani-most-wanted-palettes/ID=300398997-product,https://pics.drugstore.com/prodimg/620317/155.jpg,300398997,400620317
Ardell,Natural 172 Black,$2.49,1 ea ,False Eyelashes,https://www.walgreens.com/store/c/ardell-natural-172/ID=prod6386348-product,https://pics.drugstore.com/prodimg/611192/155.jpg,prod6386348,sku6319702
Physicians Formula,Precision Liquid Eyeliner Black,$12.49,0.14 fl oz ,Eyeliner,https://www.walgreens.com/store/c/physicians-formula-precision-liquid-eyeliner/ID=300397836-product,https://pics.drugstore.com/prodimg/618889/155.jpg,300397836,400618889
L'Oreal Paris,Brilliant Eyes Shimmer Liquid Eye Shadow Makeup Radiant Ruby,$11.99,0.1 oz ,Eyeshadow,https://www.walgreens.com/store/c/l'oreal-paris-brilliant-eyes-shimmer-liquid-eye-shadow-makeup/ID=300398951-product,https://pics.drugstore.com/prodimg/619013/155.jpg,300398951,400619013
No7,Smoky Powder Eyeliner Brown,$9.99,0.02 oz ,Eyeliner,https://www.walgreens.com/store/c/no7-smoky-powder-eyeliner/ID=300389135-product,https://pics.drugstore.com/prodimg/553530/155.jpg,300389135,sku6236101
e.l.f.,Wow Brow Gel Neutral Brown,$4.00,0.12 oz ,Eyebrow Makeup,https://www.walgreens.com/store/c/e.l.f.-wow-brow-gel/ID=300403290-product,https://pics.drugstore.com/prodimg/624620/155.jpg,300403290,400624620
Rimmel,Thick & Thin Eyeliner Black,$6.49,0.04 fl oz ,Eyeliner,https://www.walgreens.com/store/c/rimmel-scandal-eyes-thick-%26-thin-eyeliner/ID=prod6208678-product,https://pics.drugstore.com/prodimg/515537/155.jpg,prod6208678,sku6182814
